Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
312,406,327,407,326,406,327,407,327,406,327,406,327,406,327,406,327,406,327,406,326,406,326,406,326,405,326,405,327,407,325,406,323,407,322,407,322,407,322,406,321,406,322,406,322,406,321,407,320,407,319,407,317,407,318,407,318,407,318,408,318,408,318,407,318,407,320,408,320,407,320,407,320,407,320,407,320,406,320,404,321,404,321,404,322,405,321,406,320,406,319,405,321,405,321,405,321,404,321,404,322,404,323,404,324,404,325,404,325,404,324,404,325,404,324,404,324,404,325,403,325,403,325,402,326,402,326,402,327,402,326,403,326,402,326,402,326,402,326,402,325,402,325,402,326
311,417,327,417,325,417,326,417,326,417,326,417,326,417,327,417,326,416,326,417,325,416,325,416,325,416,326,416,326,416,325,416,323,417,322,417,322,417,322,416,321,416,322,416,322,416,321,417,320,417,319,418,317,418,317,418,318,417,318,418,318,418,318,418,317,418,320,419,319,418,320,418,320,418,320,418,319,417,319,415,321,415,321,415,321,416,321,416,319,417,318,416,321,416,320,415,320,415,321,415,322,415,322,415,324,415,324,415,324,415,324,415,324,415,324,415,324,414,324,414,324,414,324,413,326,413,326,413,326,413,326,413,325,413,325,413,325,413,325,413,325,413,325,413,325
310,425,326,425,325,425,326,425,326,425,326,425,326,425,326,425,326,425,326,425,325,424,325,425,325,424,326,424,326,424,326,424,323,424,323,425,322,425,323,424,322,424,323,424,322,424,322,424,320,425,319,425,318,425,319,425,319,425,319,425,320,425,319,426,318,426,320,427,319,427,319,427,320,426,320,426,319,425,319,424,321,423,321,423,321,424,321,424,319,426,318,425,321,424,320,424,320,424,321,423,322,424,322,424,323,423,324,423,324,423,323,423,324,423,323,423,323,423,324,423,324,422,324,422,325,422,326,422,326,422,325,422,325,422,325,422,325,422,325,422,324,422,325,422,325
415,431,326,432,325,432,326,432,326,432,326,432,326,432,326,432,326,431,326,432,325,431,325,432,325,431,326,430,327,430,327,430,325,431,324,431,324,431,324,430,324,430,324,430,324,430,323,431,322,432,321,432,320,432,320,432,321,432,321,432,321,431,321,433,319,433,321,434,320,434,320,434,320,433,320,433,320,433,320,431,322,430,321,430,322,431,322,431,320,433,319,432,321,431,320,431,321,431,322,431,322,431,322,431,323,431,324,430,324,430,324,431,324,430,324,431,324,430,324,430,324,430,324,429,325,429,326,429,326,429,325,429,325,429,325,429,325,429,325,429,325,429,325,429,325
308,438,329,439,328,438,329,439,329,439,329,438,329,438,329,439,329,438,328,439,328,438,328,438,329,438,329,437,331,437,331,437,329,437,329,438,329,437,329,437,329,436,329,436,329,436,329,437,328,438,327,439,327,438,327,438,327,438,327,438,327,438,326,439,324,439,326,441,324,440,324,440,324,440,325,440,324,439,324,437,326,437,325,437,326,438,326,438,324,439,324,439,324,438,324,438,325,437,325,437,325,438,326,438,326,437,327,437,327,437,327,437,327,437,327,437,327,437,327,437,327,437,327,436,328,436,329,436,329,436,328,436,328,436,328,436,328,436,328,436,328,436,328,436,328
276,491,171,492,173,491,172,491,172,491,172,491,172,491,172,491,173,491,171,492,173,491,172,491,172,491,172,492,172,491,172,492,172,492,172,492,172,492,172,492,172,492,172,492,172,491,172,491,172,489,173,489,173,491,173,491,173,492,173,491,173,491,173,491,173,491,173,491,172,491,172,491,171,491,171,489,171,490,171,489,171,488,171,489,171,490,172,489,171,490,171,490,171,490,171,490,171,491,171,491,172,491,172,491,172,491,172,490,171,490,171,490,171,490,172,490,172,490,173,489,172,490,172,489,174,489,174,489,174,489,174,488,174,488,174,488,174,488,174,488,174,489,174,489,174
283,482,162,483,164,482,163,482,163,482,163,482,163,482,163,482,164,482,162,483,163,482,163,482,163,482,162,482,163,482,162,483,162,483,163,483,162,483,162,483,162,483,162,483,163,482,163,482,163,480,163,479,164,481,163,482,163,482,163,482,163,482,163,482,163,482,163,482,162,482,162,482,161,482,161,480,161,480,161,480,161,479,162,480,162,481,162,480,162,480,161,480,161,481,161,481,161,481,161,482,162,482,162,482,162,482,162,481,162,480,162,480,162,481,162,481,162,480,163,480,163,480,163,480,164,480,165,480,165,479,165,479,165,479,164,479,164,479,164,479,164,479,164,480,164
282,467,158,468,160,467,159,467,159,467,159,467,159,467,159,467,160,467,158,468,159,467,159,468,159,467,158,468,159,468,158,469,158,468,159,468,158,468,158,468,158,468,158,468,158,467,159,468,159,465,159,465,159,467,159,467,159,468,159,467,159,468,159,467,159,468,159,467,158,468,158,468,157,467,157,465,156,466,156,466,157,465,157,465,157,466,157,465,157,466,157,466,156,466,157,466,157,467,157,467,157,467,158,467,158,467,158,467,158,466,158,466,158,466,158,466,158,466,159,465,159,465,159,465,160,465,160,465,161,464,161,464,161,464,161,464,160,464,160,464,160,464,160,465,160
295,446,160,447,161,446,161,446,161,446,161,446,161,446,161,446,161,446,160,447,161,446,160,447,160,446,160,447,160,447,160,448,160,448,161,447,160,447,160,447,160,447,160,447,160,446,161,447,161,445,161,445,161,446,161,446,161,447,161,447,161,447,161,446,161,447,160,446,160,447,160,447,159,446,159,445,157,445,158,445,158,444,158,445,158,445,159,445,159,445,158,445,158,445,158,445,158,445,158,446,159,446,159,446,159,446,160,445,159,445,159,445,160,445,159,445,160,444,160,444,160,444,161,444,161,444,162,443,162,443,162,443,162,443,162,443,162,443,162,443,162,443,162,443,162
300,496,166,497,168,496,167,496,168,496,167,496,167,496,167,496,168,496,166,497,168,496,167,496,168,496,167,496,167,496,167,498,167,497,168,497,168,497,167,497,167,497,167,497,167,497,168,496,168,494,168,494,168,496,168,496,168,496,168,496,168,496,168,496,168,496,168,496,167,496,167,496,166,496,166,494,166,495,166,494,166,494,166,494,166,495,167,494,167,495,167,495,166,495,166,495,166,496,166,496,167,496,167,496,167,496,167,495,166,495,166,495,167,495,167,495,167,495,168,495,167,495,168,494,169,494,169,494,169,494,169,493,169,494,169,493,169,494,169,494,169,494,169,494,169
293,487,154,488,156,487,155,487,155,487,154,487,155,487,154,487,156,487,154,488,155,487,155,487,155,487,154,488,155,487,154,489,154,488,155,488,155,488,155,488,154,488,154,488,154,488,155,487,155,485,155,485,156,487,155,487,155,488,155,487,155,487,155,487,155,488,155,487,154,488,154,488,153,487,153,485,153,486,153,485,153,485,154,486,153,486,154,485,154,486,153,486,153,486,153,486,153,487,153,487,154,488,154,487,154,487,154,486,154,486,154,486,154,486,154,486,154,486,155,486,155,486,155,486,156,485,157,485,157,485,157,484,156,485,156,484,156,485,156,484,156,485,156,485,156
334,471,148,472,150,471,149,471,149,471,149,471,149,471,149,471,150,471,148,472,149,471,149,471,149,471,148,471,149,471,148,472,148,472,149,472,149,472,149,472,148,472,149,472,149,471,149,471,149,469,149,469,150,471,149,471,149,471,149,471,149,471,149,471,149,472,149,471,148,471,148,471,147,471,147,469,146,470,147,470,147,469,147,469,147,470,148,469,147,469,147,469,147,470,147,470,147,470,147,471,147,471,148,470,148,471,148,470,148,469,148,469,148,470,148,470,148,469,149,469,149,469,149,469,150,468,150,468,151,468,151,468,150,468,150,468,150,468,150,468,150,468,150,468,150
296,448,150,449,151,448,150,448,150,448,150,448,150,448,150,448,151,448,150,449,151,448,150,448,150,448,150,449,150,448,150,449,150,449,150,449,150,449,150,449,150,449,150,449,150,448,150,449,150,447,150,446,151,448,151,448,151,449,151,448,151,449,151,448,150,449,150,448,150,449,149,449,149,448,148,447,147,447,147,447,148,446,148,446,148,447,149,446,148,447,148,447,147,447,148,447,148,447,148,448,149,448,149,448,149,447,149,447,149,446,149,446,149,447,149,447,149,446,150,446,150,446,150,446,151,445,152,445,152,445,152,445,152,445,152,445,152,445,152,444,151,445,152,445,152
336,420,154,421,155,420,154,420,154,420,154,420,154,420,154,420,155,420,154,421,154,420,154,421,154,420,154,421,154,421,154,421,154,422,155,421,154,421,154,421,154,421,154,421,154,420,155,421,155,419,155,419,155,421,155,421,156,421,155,421,155,421,155,421,155,421,154,421,154,421,153,421,153,420,152,419,151,420,151,420,151,419,152,419,152,419,153,419,153,419,152,419,151,419,151,419,152,419,152,420,153,420,153,420,153,419,153,419,153,418,153,419,153,419,153,419,153,418,154,418,154,418,154,418,155,417,155,417,156,417,156,417,156,417,156,417,156,417,156,417,155,417,156,417,156
33,298,207,298,207,298,207,298,207,298,207,298,207,298,207,298,207,298,206,298,206,298,206,298,206,298,206,298,206,298,207,299,207,299,208,299,207,299,208,298,208,298,208,298,208,298,208,298,209,299,211,299,211,300,211,299,210,299,210,299,210,299,209,299,209,299,208,299,209,299,208,299,208,299,208,300,209,300,209,301,209,300,209,299,209,299,209,298,208,299,209,298,209,298,207,296,208,297,207,297,207,296,206,296,205,296,206,296,206,296,206,296,206,296,206,296,206,296,206,295,206,295,206,295,207,295,207,295,208,295,207,295,208,295,208,295,208,295,208,295,208,295,208,295,208
7,302,210,302,210,303,210,302,210,302,210,302,210,302,210,302,210,302,209,302,209,303,209,302,209,302,209,303,209,302,210,303,210,304,210,304,210,303,210,303,211,302,211,303,211,302,211,303,212,304,213,304,213,304,213,304,212,304,212,304,212,303,212,304,211,303,211,303,211,303,210,304,210,303,210,304,211,305,211,305,211,305,211,303,211,303,211,302,210,303,211,302,211,302,209,301,210,301,210,301,209,300,209,300,208,300,208,300,209,300,208,300,208,300,208,300,208,300,208,300,208,300,209,299,210,299,210,299,211,299,210,299,211,299,211,299,210,299,210,299,211,299,210,299,210
163,307,212,307,212,307,212,307,211,307,212,307,212,307,212,307,211,307,211,307,211,307,211,307,211,307,211,307,211,307,212,308,212,308,212,308,212,308,212,307,213,307,213,308,213,307,213,308,213,309,214,309,214,309,214,309,214,309,214,309,213,308,213,309,212,308,212,308,213,308,212,308,212,308,212,309,212,310,212,310,212,310,211,309,212,308,212,307,212,308,212,308,212,307,210,306,211,306,211,306,211,305,210,305,210,305,210,305,210,305,210,305,210,305,210,305,210,305,210,304,210,304,211,304,212,304,212,304,212,304,212,304,213,304,212,304,212,304,212,303,213,304,212,304,212
144,314,214,314,214,314,213,314,213,314,213,314,213,314,213,314,213,314,213,314,213,314,213,314,213,314,213,315,213,314,214,315,214,316,214,315,214,315,214,315,214,314,214,315,214,314,214,315,215,316,215,316,215,316,215,316,215,316,215,316,215,316,215,316,214,316,214,315,214,316,213,316,213,315,213,316,213,317,212,317,213,317,212,315,213,315,214,314,213,315,213,315,213,314,211,313,213,313,213,313,213,312,212,312,212,312,212,312,212,312,212,312,212,312,212,312,212,312,212,312,212,312,212,311,213,311,214,311,214,311,214,311,214,311,214,311,214,311,214,311,214,311,214,311,214
145,325,215,325,214,325,214,325,214,325,214,325,214,325,214,325,214,325,214,325,213,325,213,325,213,325,214,325,214,325,215,325,215,326,215,326,215,326,215,325,215,325,215,325,215,325,215,325,215,326,216,326,215,327,216,326,216,326,215,326,215,326,215,326,214,326,214,326,215,326,214,326,213,326,213,326,213,327,212,327,213,327,212,326,213,325,214,325,213,326,213,325,213,325,211,323,213,324,213,324,213,323,213,323,213,323,213,323,213,323,212,323,212,323,212,323,212,323,212,322,213,322,213,322,214,322,214,322,215,322,215,321,215,321,215,321,215,321,215,321,215,321,215,321,215
153,335,213,335,213,335,213,335,213,335,213,335,213,335,213,335,213,335,212,335,212,335,212,335,212,335,213,335,212,335,213,336,213,336,213,336,213,336,213,335,213,335,213,335,214,335,213,335,214,336,214,336,214,336,214,336,214,336,214,336,214,336,214,336,213,336,213,336,213,336,212,336,212,336,212,336,212,337,211,337,211,336,210,335,211,335,212,334,212,335,211,335,211,334,209,333,211,334,212,334,212,333,211,333,211,333,212,333,212,333,211,333,211,333,211,333,211,333,211,332,211,332,212,332,213,332,213,332,214,332,214,332,214,332,214,331,214,331,213,331,214,331,213,332,213
154,344,211,345,210,345,210,345,210,345,210,344,210,344,210,344,210,344,210,345,210,345,210,345,209,345,210,345,210,344,211,345,211,346,211,345,211,345,211,345,211,344,211,345,211,344,211,345,211,345,212,345,211,345,212,345,212,345,212,345,211,345,211,345,211,345,210,345,211,345,210,345,210,345,210,345,209,345,208,345,208,345,208,344,209,344,210,344,209,344,209,343,209,343,207,342,209,343,209,343,209,343,209,343,209,342,209,342,209,343,209,342,209,343,208,342,209,342,209,342,209,342,209,342,210,341,211,341,211,341,211,341,211,341,211,341,211,341,211,341,211,341,211,341,211
155,351,209,351,208,351,208,351,208,351,208,350,208,351,208,350,208,351,208,351,208,351,208,351,208,351,208,351,208,351,209,351,209,352,209,352,209,351,209,351,209,351,209,351,209,350,209,351,210,351,210,350,210,351,210,351,210,351,210,351,210,351,209,351,209,351,209,351,209,351,208,351,208,351,208,350,207,351,206,350,206,350,206,349,207,350,208,349,208,349,207,349,207,348,205,348,207,349,207,349,208,349,207,349,207,348,207,348,207,349,207,349,207,349,207,348,207,348,207,348,207,348,207,348,208,347,209,347,209,347,209,347,210,347,209,347,209,347,209,347,209,347,209,347,209
133,354,207,354,207,354,207,354,207,354,207,353,207,354,207,354,207,354,206,354,206,354,206,354,206,354,206,354,206,354,207,354,207,355,207,355,207,354,207,354,207,354,207,354,208,353,207,354,208,353,208,353,208,354,209,354,209,354,208,354,208,354,208,354,207,354,207,354,207,354,207,354,207,354,206,353,206,353,205,353,205,353,205,352,206,353,207,352,206,352,206,352,206,351,204,351,206,352,206,352,206,352,206,352,206,352,206,352,206,352,205,352,205,352,205,352,205,351,205,351,206,351,206,351,207,351,207,350,208,350,208,350,208,350,208,350,208,350,208,350,208,350,208,350,208
33,298,207,298,207,298,207,298,207,298,207,298,207,298,207,298,207,298,206,299,206,298,206,298,206,298,206,298,206,298,207,299,207,299,208,299,207,299,208,298,208,298,208,298,208,298,208,298,209,299,211,299,211,300,211,299,210,299,210,299,210,299,209,299,209,299,209,299,209,299,208,299,208,299,208,300,209,300,209,301,209,300,209,299,209,299,209,298,208,299,209,298,209,298,207,296,208,297,207,297,207,296,206,296,205,296,206,296,206,296,206,296,206,296,206,296,206,296,206,295,206,295,206,295,207,295,207,295,208,295,208,295,208,295,208,294,208,295,208,295,208,295,208,295,208
246,301,205,301,205,301,205,301,205,301,205,301,205,301,205,301,205,301,204,301,204,301,204,301,204,301,204,301,204,301,205,302,206,303,206,302,206,302,206,302,206,301,206,302,207,301,207,302,208,303,210,303,210,303,210,303,209,303,209,303,208,303,208,303,207,302,207,302,207,302,206,303,206,302,206,303,208,304,209,304,209,304,208,303,209,302,208,301,207,302,208,302,208,301,206,300,206,300,206,300,205,299,204,299,204,299,204,299,204,299,204,299,204,299,204,299,204,299,204,298,204,299,204,298,205,298,206,298,206,298,206,298,206,298,206,298,206,298,206,298,206,298,206,298,206
161,305,203,305,203,305,203,305,203,305,203,305,203,305,203,305,203,305,202,305,202,306,202,305,202,305,202,305,202,305,203,306,204,307,204,307,204,306,204,306,204,306,205,306,205,306,205,306,206,307,208,307,209,308,208,307,208,307,207,307,207,307,206,307,206,307,206,306,206,307,205,307,205,307,205,308,207,309,208,309,208,308,208,307,208,307,206,306,205,307,207,306,207,306,205,304,205,305,204,305,203,304,202,303,202,303,202,303,202,303,202,303,202,303,202,303,202,303,202,302,202,303,202,303,203,302,204,302,204,302,204,302,204,302,204,302,204,302,204,302,204,302,204,302,204
160,312,200,312,201,312,200,312,200,312,200,311,200,312,200,312,200,312,199,312,200,312,199,312,199,312,199,312,199,312,200,313,201,314,201,313,201,313,201,313,202,312,202,313,202,312,202,313,204,314,206,314,207,315,206,314,206,314,205,314,204,314,204,314,203,314,204,313,203,314,203,314,202,314,203,314,205,316,207,316,207,315,206,314,206,313,205,312,203,314,205,313,206,313,204,311,203,312,202,312,201,310,200,310,199,310,199,310,199,310,200,310,199,310,199,310,200,310,199,309,199,309,200,309,201,309,201,309,201,309,201,309,201,308,201,309,201,308,201,309,201,309,201,309,201
159,322,198,322,199,322,198,322,198,322,198,322,198,322,198,322,198,322,197,322,198,322,198,322,198,322,197,323,197,322,198,323,199,324,199,324,199,323,200,323,200,323,200,323,201,323,201,323,202,324,205,324,206,324,205,324,204,324,204,324,203,324,203,324,202,324,202,323,202,324,201,324,201,323,201,324,203,325,206,325,205,325,205,324,205,323,203,322,201,323,204,323,204,323,203,321,202,322,200,322,199,321,198,321,197,320,197,320,198,320,198,320,198,320,198,320,198,320,198,320,197,320,198,320,199,319,199,319,200,319,199,319,200,319,200,319,199,319,200,319,199,319,200,319,199
158,332,198,333,199,332,198,333,198,332,198,332,198,332,198,332,198,332,197,333,198,332,198,333,198,333,198,333,198,332,199,333,199,334,200,334,199,333,200,333,200,333,200,333,201,333,201,333,202,333,204,333,205,334,205,334,204,334,204,334,203,334,203,334,202,334,202,333,202,333,201,334,201,333,201,334,203,334,205,334,205,334,204,333,204,333,203,332,201,333,203,332,204,332,202,331,201,331,200,332,199,331,198,331,198,330,198,330,198,330,198,330,198,330,198,330,198,330,198,330,198,330,198,330,199,330,199,329,200,329,199,329,200,329,200,329,200,329,200,329,200,329,200,329,199
157,343,201,343,201,343,200,343,200,343,200,343,200,343,200,343,200,343,199,343,200,343,200,343,200,343,200,343,200,343,201,344,201,344,201,344,201,344,201,343,202,343,202,343,202,343,202,343,203,343,205,343,205,344,205,344,204,344,204,344,204,344,203,344,203,344,203,343,203,344,202,344,202,343,202,343,203,344,204,344,204,343,203,343,204,343,203,342,202,343,203,342,203,342,202,341,202,342,201,342,201,341,200,341,200,341,200,341,200,341,199,341,199,341,199,341,199,341,199,340,199,340,200,340,201,340,201,340,202,340,201,340,202,339,202,339,202,339,202,339,202,339,202,340,201
173,350,204,351,204,350,204,350,204,350,204,350,204,350,204,350,204,350,203,351,203,350,203,350,203,351,204,351,204,350,204,351,205,351,205,351,205,351,205,351,205,350,205,351,205,350,205,350,206,350,207,350,207,351,207,351,207,351,207,351,206,351,206,351,205,351,205,351,205,351,205,351,204,351,204,350,204,350,204,350,204,350,204,349,204,350,205,349,204,349,204,349,204,348,202,348,204,349,204,349,204,349,203,349,203,348,203,348,203,348,203,348,203,348,203,348,203,348,203,348,203,348,203,347,204,347,205,347,205,347,205,347,205,347,205,347,205,347,205,347,205,347,205,347,205
133,354,207,354,207,354,207,354,207,354,207,353,207,354,207,354,207,354,206,354,206,354,206,354,206,354,206,354,206,354,207,354,207,355,207,355,207,354,207,354,207,354,207,354,208,353,207,354,208,353,208,353,208,354,209,354,209,354,208,354,208,354,208,354,207,354,207,354,207,354,207,354,207,354,206,353,206,353,205,353,205,353,205,352,206,353,207,352,206,352,206,352,206,351,204,351,206,352,206,352,206,352,206,352,206,352,206,352,206,352,205,352,205,352,205,352,205,351,205,351,206,351,206,351,207,351,207,350,208,350,208,350,208,350,208,350,208,350,208,350,208,350,208,350,208
